cook_id,cook_date,season,weight_lbs,grade,fat_cap_inches,equipment,wood_type,regional_style,cook_temp_f,wrap_technique,experience_level,ambient_temp_f,humidity_percent,wind_speed_mph,cook_time_hours,stall_duration_hours,internal_temp_f,rest_time_hours,tenderness_score,moisture_score,bark_quality_score,overall_rating,total_cost_usd
BRISKET_0033,2023-06-08,Summer,22.0,Choice,0.27,Electric Smoker,Cherry,Alabama,270,Butcher Paper,Intermediate,68,21,7.4,24.0,4.2,202.0,0.9,6.5,7.0,5.7,6.4,296.0
BRISKET_0034,2023-08-06,Summer,22.0,Select,0.43,Electric Smoker,Mixed,Kansas City,252,Butcher Paper,Advanced,57,68,7.6,24.0,2.5,192.0,1.9,4.4,7.0,4.5,5.3,262.91
BRISKET_0035,2023-11-05,Fall,9.9,Choice,0.08,Pellet Grill,Apple,Kansas City,254,No Wrap,Advanced,76,41,0.0,10.0,2.8,,1.4,7.3,7.0,7.6,7.3,130.37
BRISKET_0036,2023-02-18,Winter,9.7,Prime,0.51,Pellet Grill,Apple,Carolina,238,No Wrap,Beginner,25,40,0.7,24.0,2.4,208.0,0.8,3.3,6.2,4.8,4.8,223.2
BRISKET_0037,2024-05-16,Spring,12.1,Prime,0.21,Offset Smoker,Mixed,Kansas City,244,Foil,Advanced,18,30,6.6,24.0,4.2,190.0,1.6,3.9,8.8,4.6,5.8,232.79
BRISKET_0038,2023-02-20,Winter,16.7,Select,0.32,Kettle Grill,Pecan,Memphis,239,No Wrap,Advanced,6,26,0.8,24.0,2.7,202.0,1.4,3.7,4.8,3.0,3.9,196.21
BRISKET_0039,2024-01-21,Winter,19.2,Choice,0.18,Kettle Grill,Hickory,Carolina,234,Butcher Paper,Advanced,30,43,14.2,24.0,3.0,202.0,2.0,3.9,7.4,4.6,5.3,
BRISKET_0040,2023-07-20,Summer,12.7,Choice,0.2,Kamado,Hickory,Kansas City,238,Butcher Paper,Beginner,104,68,33.3,24.0,1.3,208.0,1.2,1.6,5.0,2.9,3.2,205.44
BRISKET_0041,2024-03-30,Spring,11.9,Choice,0.4,Offset Smoker,Mesquite,Texas,230,Foil,Professional,83,60,4.1,16.9,3.8,199.0,2.4,7.4,8.0,6.3,7.2,155.84
BRISKET_0042,2023-05-28,Spring,12.4,Prime,0.29,Offset Smoker,Oak,Texas,221,Butcher Paper,Intermediate,57,60,15.0,24.0,4.6,193.0,1.0,5.3,7.4,6.7,6.5,236.45
BRISKET_0043,2024-05-11,Spring,17.2,Choice,0.31,Kettle Grill,Oak,Texas,257,Foil,Intermediate,63,28,16.5,24.0,3.8,201.0,1.2,5.3,7.4,4.5,5.7,220.82
BRISKET_0044,2024-05-04,Spring,19.9,Choice,0.35,Electric Smoker,Cherry,Kansas City,249,Butcher Paper,Intermediate,77,81,3.6,23.6,4.4,209.0,1.4,4.3,7.6,6.3,6.0,277.79
BRISKET_0045,2023-06-19,Summer,13.4,Choice,0.19,Gas Smoker,Mesquite,Texas,212,Foil,Beginner,73,41,21.6,23.2,3.0,198.0,1.4,3.8,6.0,4.2,4.7,205.22
BRISKET_0046,2024-08-07,Summer,10.3,Prime,0.19,Kettle Grill,Hickory,Carolina,249,No Wrap,Intermediate,76,60,1.1,17.5,3.5,202.0,2.2,7.3,7.5,7.3,7.4,180.01
BRISKET_0047,2023-09-16,Fall,13.9,Choice,0.1,Pellet Grill,Apple,Carolina,249,Foil,Intermediate,64,57,7.9,24.0,2.3,194.0,2.2,5.8,6.7,5.3,5.9,215.08
BRISKET_0048,2024-06-24,Summer,14.9,Choice,0.23,Electric Smoker,Hickory,Carolina,225,Butcher Paper,Intermediate,88,70,8.5,21.4,3.0,210.0,1.4,5.3,6.8,5.6,5.9,231.04
BRISKET_0049,2023-12-02,Winter,17.2,Choice,0.3,Gas Smoker,Apple,Carolina,234,No Wrap,Intermediate,48,51,16.2,24.0,4.6,202.0,0.6,4.5,5.8,4.6,5.0,232.75
BRISKET_0050,2024-11-30,Fall,11.0,Choice,0.21,Offset Smoker,Cherry,Alabama,266,No Wrap,Beginner,58,44,0.1,20.4,2.4,198.0,1.9,4.7,6.7,5.9,5.8,176.56
BRISKET_0051,2024-04-04,Spring,11.4,Select,0.44,Offset Smoker,Mesquite,Texas,237,Butcher Paper,Professional,57,20,11.8,22.8,4.1,210.0,1.9,4.3,6.7,5.9,5.6,153.15
BRISKET_0052,2024-03-28,Spring,14.5,Select,0.12,Weber Smokey Mountain,Pecan,Carolina,244,No Wrap,Advanced,93,54,18.0,24.0,0.5,204.0,1.9,4.8,6.1,4.3,5.1,175.66
BRISKET_0053,2024-12-26,Winter,11.8,Select,0.06,Kamado,Mesquite,Kansas City,226,Foil,Beginner,11,53,12.8,24.0,3.9,206.0,0.8,1.0,2.9,1.0,1.6,178.63
BRISKET_0054,2023-08-30,Summer,7.3,Choice,0.15,Gas Smoker,Hickory,Kansas City,245,No Wrap,Intermediate,70,69,0.7,10.1,3.1,210.0,1.7,5.4,7.4,7.6,6.8,111.93
BRISKET_0055,2023-04-21,Spring,22.0,Choice,0.18,Kamado,Oak,Carolina,246,Foil,Advanced,62,74,13.6,24.0,2.0,195.0,2.3,6.1,8.8,5.2,6.7,272.87
BRISKET_0056,2023-12-18,Winter,22.0,Choice,0.21,Pellet Grill,Mesquite,Memphis,216,Butcher Paper,Beginner,46,37,0.7,24.0,4.6,190.0,0.3,3.7,6.4,5.6,5.2,282.44
BRISKET_0057,2024-05-26,Spring,10.3,Choice,0.11,Electric Smoker,Pecan,Alabama,256,No Wrap,Intermediate,90,87,12.6,11.1,3.3,197.0,0.2,4.6,6.0,5.7,5.4,133.01
BRISKET_0058,2023-05-10,Spring,10.9,Choice,0.42,Gas Smoker,Pecan,Carolina,260,No Wrap,Intermediate,64,60,3.0,10.2,3.3,197.0,1.6,6.4,6.1,6.1,6.2,141.98
BRISKET_0059,2023-10-11,Fall,15.0,Prime,0.38,Offset Smoker,Mesquite,Alabama,231,Foil,Beginner,48,81,14.9,24.0,3.1,190.0,1.5,3.9,7.0,2.5,4.4,272.57
BRISKET_0060,2023-05-31,Spring,16.3,Prime,0.28,Weber Smokey Mountain,Mixed,Alabama,240,Butcher Paper,Intermediate,57,36,9.0,24.0,5.0,207.0,1.2,6.0,7.9,6.9,6.9,279.82
BRISKET_0061,2023-01-01,Winter,10.7,Choice,0.28,Gas Smoker,Apple,Texas,236,Foil,Professional,44,27,4.0,15.7,1.3,192.0,2.5,5.8,8.1,5.8,6.5,162.43
BRISKET_0062,2023-12-10,Winter,9.0,Choice,0.37,Pellet Grill,Oak,Alabama,280,Butcher Paper,Intermediate,31,59,3.2,14.0,3.0,190.0,1.2,4.3,6.8,6.4,5.8,140.82
BRISKET_0063,2023-11-24,Fall,9.5,Choice,0.1,Kamado,Pecan,Memphis,252,Butcher Paper,Intermediate,5,84,0.2,14.6,3.8,202.0,1.1,3.7,5.5,3.6,4.3,134.0
BRISKET_0064,2024-07-17,Summer,14.3,Choice,0.28,Pellet Grill,Oak,Alabama,242,Butcher Paper,Intermediate,78,75,6.1,17.1,3.5,207.0,0.7,5.2,7.0,5.9,6.1,201.82
BRISKET_0065,2024-11-15,Fall,13.7,Select,0.25,Pellet Grill,Oak,Kansas City,261,Butcher Paper,Beginner,64,52,7.4,18.4,2.3,207.0,0.9,4.4,4.8,4.4,4.5,168.13
BRISKET_0066,2023-08-30,Summer,11.3,Choice,0.12,Electric Smoker,Apple,Carolina,239,No Wrap,Intermediate,110,56,16.3,15.3,1.3,202.0,1.0,4.1,5.1,3.2,4.1,159.24
BRISKET_0067,2023-06-16,Summer,16.5,Choice,0.22,Gas Smoker,Apple,Alabama,241,Butcher Paper,Beginner,95,54,7.4,17.9,2.0,210.0,1.2,4.0,5.7,3.9,4.5,214.9
BRISKET_0068,2023-03-08,Spring,15.1,Choice,0.42,Offset Smoker,Mesquite,Memphis,243,No Wrap,Intermediate,28,20,3.2,24.0,3.6,192.0,1.0,4.5,5.7,5.4,5.2,206.45
BRISKET_0069,2024-05-29,Spring,13.8,Prime,0.33,Gas Smoker,Cherry,Kansas City,254,Foil,Intermediate,38,48,39.1,24.0,1.9,192.0,0.6,2.7,6.4,3.2,4.1,250.51
BRISKET_0070,2024-02-11,Winter,11.5,Choice,0.25,Electric Smoker,Pecan,Kansas City,212,Foil,Intermediate,10,51,6.8,24.0,3.3,194.0,1.5,2.7,5.4,2.9,3.7,199.8
BRISKET_0071,2024-04-10,Spring,10.8,Choice,0.51,Electric Smoker,Apple,Texas,227,Foil,Intermediate,61,65,21.6,23.5,3.5,207.0,1.0,4.1,5.8,4.2,4.7,198.05
BRISKET_0072,2024-06-26,Summer,14.7,Choice,0.3,Pellet Grill,Mesquite,Carolina,218,Foil,Intermediate,65,20,0.9,19.6,2.9,195.0,0.8,5.8,7.0,5.9,6.2,205.07
BRISKET_0073,2024-08-31,Summer,8.5,Choice,0.34,Offset Smoker,Mesquite,Kansas City,248,Butcher Paper,Intermediate,82,65,13.5,17.0,1.1,210.0,0.8,4.2,6.6,5.0,5.2,138.61
BRISKET_0074,2024-04-15,Spring,9.6,Select,0.15,Gas Smoker,Mixed,Alabama,249,No Wrap,Intermediate,87,57,1.9,10.9,1.8,203.0,1.6,4.7,6.0,5.1,5.3,111.48
BRISKET_0075,2024-02-29,Winter,13.1,Choice,0.34,Kamado,Mixed,Carolina,242,Butcher Paper,Intermediate,25,72,2.4,24.0,3.5,194.0,2.0,3.9,6.1,4.7,4.9,196.73
BRISKET_0076,2024-10-12,Fall,19.3,Choice,0.17,Pellet Grill,Oak,Texas,235,Foil,Intermediate,35,40,4.3,24.0,2.1,207.0,1.0,4.1,6.3,3.5,4.6,261.62
BRISKET_0077,2024-11-23,Fall,14.4,Select,0.16,Pellet Grill,Cherry,Memphis,229,No Wrap,Intermediate,55,62,7.7,20.2,3.2,198.0,0.3,4.9,5.5,4.9,5.1,188.03
BRISKET_0078,2024-10-22,Fall,14.4,Choice,0.17,Pellet Grill,Mesquite,Alabama,263,Butcher Paper,Intermediate,38,30,0.4,18.5,3.0,192.0,0.2,4.8,7.1,5.0,5.6,203.31
BRISKET_0079,2023-01-23,Winter,11.2,Choice,0.3,Electric Smoker,Apple,Texas,232,Butcher Paper,Beginner,46,50,8.1,24.0,2.4,204.0,1.8,4.3,5.0,4.5,4.6,207.67
BRISKET_0080,2024-05-14,Spring,13.8,Prime,0.33,Weber Smokey Mountain,Cherry,Carolina,243,No Wrap,Advanced,47,78,14.7,24.0,3.6,196.0,1.8,5.6,7.3,5.7,6.2,239.73
BRISKET_0081,2024-08-05,Summer,21.4,Choice,0.45,Kamado,Apple,Kansas City,245,Butcher Paper,Intermediate,110,59,0.5,24.0,4.1,194.0,1.5,4.5,5.1,5.4,5.0,270.24
BRISKET_0082,2023-07-02,Summer,9.1,Prime,0.33,Pellet Grill,Cherry,Texas,250,Butcher Paper,Beginner,66,52,0.5,15.0,2.1,202.0,0.3,7.2,8.2,7.6,7.7,178.57
BRISKET_0083,2024-07-16,Summer,15.7,Choice,0.2,Offset Smoker,Oak,Kansas City,249,Foil,Intermediate,95,61,14.8,24.0,2.5,197.0,1.4,4.1,6.2,3.7,4.7,222.32
BRISKET_0084,2024-02-04,Winter,21.6,Select,0.2,Kamado,Mesquite,Kansas City,249,Butcher Paper,Beginner,24,40,12.0,24.0,2.0,201.0,1.0,2.2,4.0,1.9,2.7,234.85
BRISKET_0085,2023-05-22,Spring,9.0,Prime,0.49,Pellet Grill,Pecan,Texas,225,Butcher Paper,Intermediate,75,29,1.8,12.7,2.0,,1.2,7.7,8.4,7.4,7.8,161.96
BRISKET_0086,2023-07-17,Summer,19.0,Choice,0.23,Kamado,Pecan,Carolina,236,No Wrap,Advanced,81,60,1.2,21.0,3.2,200.0,2.0,6.7,7.9,7.3,7.3,
BRISKET_0087,2023-06-03,Summer,14.8,Prime,0.22,Kettle Grill,Oak,Carolina,245,No Wrap,Advanced,97,49,5.9,22.3,2.9,194.0,2.0,6.3,7.1,6.7,6.7,253.53
BRISKET_0088,2023-06-27,Summer,10.3,Select,0.22,Kamado,Mixed,Alabama,246,Butcher Paper,Advanced,87,62,1.7,6.0,4.1,190.0,2.1,3.5,7.2,6.8,5.8,104.65
BRISKET_0089,2024-06-03,Summer,22.0,Select,0.14,Kamado,Pecan,Memphis,232,Butcher Paper,Advanced,84,80,1.3,22.9,1.8,197.0,2.0,5.1,7.5,5.8,6.1,233.15
BRISKET_0090,2024-04-21,Spring,12.5,Choice,0.12,Gas Smoker,Pecan,Carolina,253,No Wrap,Beginner,71,64,0.9,19.3,3.5,198.0,0.8,5.2,5.5,6.6,5.8,181.68
BRISKET_0091,2023-10-06,Fall,15.2,Choice,0.25,Pellet Grill,Mixed,Kansas City,243,No Wrap,Beginner,24,68,14.7,24.0,3.9,196.0,0.7,1.6,5.1,2.5,3.1,227.05
BRISKET_0092,2024-01-28,Winter,18.8,Prime,0.32,Pellet Grill,Pecan,Memphis,265,No Wrap,Beginner,39,54,2.4,24.0,2.9,202.0,1.1,5.7,5.9,5.6,5.7,319.23
BRISKET_0093,2024-03-01,Spring,18.2,Choice,0.46,Gas Smoker,Mesquite,Carolina,242,No Wrap,Intermediate,76,64,32.1,24.0,1.3,,1.4,3.9,5.4,4.6,4.6,239.81
BRISKET_0094,2024-09-23,Fall,11.1,Choice,0.18,Pellet Grill,Mesquite,Carolina,237,No Wrap,Advanced,29,61,0.3,19.5,3.6,205.0,3.3,4.3,6.1,6.2,5.5,175.73
BRISKET_0095,2024-10-20,Fall,19.4,Choice,0.42,Offset Smoker,Pecan,Memphis,233,No Wrap,Beginner,52,64,7.5,24.0,2.8,190.0,1.5,3.3,5.7,4.7,4.6,247.95
BRISKET_0096,2024-03-16,Spring,7.2,Choice,0.16,Offset Smoker,Pecan,Texas,227,Foil,Intermediate,28,50,1.7,16.5,3.8,190.0,0.3,3.3,5.7,3.5,4.2,129.04
BRISKET_0097,2024-06-12,Summer,13.4,Choice,0.36,Kettle Grill,Apple,Alabama,248,Butcher Paper,Professional,75,49,5.7,16.3,3.3,204.0,1.2,7.7,7.9,7.4,7.7,178.55
BRISKET_0098,2023-11-20,Fall,6.9,Select,0.4,Pellet Grill,Oak,Kansas City,242,Foil,Beginner,72,37,3.7,10.6,4.2,209.0,0.2,4.0,5.7,3.8,4.5,102.59
BRISKET_0099,2024-10-28,Fall,14.8,Choice,0.44,Kettle Grill,Oak,Kansas City,241,Foil,Beginner,59,75,14.1,24.0,4.0,203.0,0.7,5.3,5.2,4.0,4.8,208.19
BRISKET_0100,2023-07-07,Summer,9.0,Choice,0.21,Pellet Grill,Pecan,Kansas City,251,Foil,Advanced,69,53,4.8,9.4,4.5,197.0,1.4,6.2,7.6,6.2,6.7,123.25
BRISKET_0101,2024-02-23,Winter,18.8,Choice,0.13,Kamado,Oak,Memphis,223,No Wrap,Intermediate,26,41,4.2,24.0,2.5,199.0,1.3,4.3,5.6,4.5,4.8,250.3
BRISKET_0102,2023-08-22,Summer,10.3,Choice,0.25,Pellet Grill,Mixed,Memphis,236,No Wrap,Intermediate,74,32,1.3,12.9,3.2,201.0,0.6,6.6,7.0,6.1,6.6,147.84
BRISKET_0103,2024-01-14,Winter,10.4,Choice,0.31,Weber Smokey Mountain,Cherry,Alabama,220,Butcher Paper,Intermediate,28,60,14.0,24.0,2.5,204.0,1.4,4.2,5.5,3.4,4.4,172.73
BRISKET_0104,2024-06-03,Summer,11.4,Select,0.28,Kamado,Mixed,Alabama,258,No Wrap,Advanced,101,64,6.3,9.6,3.9,199.0,1.4,4.1,5.7,4.6,4.8,127.6
BRISKET_0105,2023-08-16,Summer,14.5,Choice,0.05,Gas Smoker,Mixed,Carolina,204,Foil,Intermediate,66,51,11.5,21.7,3.6,200.0,0.9,5.8,6.9,5.6,6.1,210.06
BRISKET_0106,2024-05-08,Spring,10.4,Prime,0.47,Gas Smoker,Apple,Memphis,244,No Wrap,Intermediate,1,69,11.5,24.0,3.9,204.0,1.4,3.8,5.6,4.1,4.5,221.38
BRISKET_0107,2023-05-07,Spring,21.4,Select,0.18,Pellet Grill,Mesquite,Carolina,239,Butcher Paper,Intermediate,66,68,0.9,24.0,3.4,206.0,0.9,4.6,6.6,5.4,5.5,238.34
BRISKET_0108,2023-10-17,Fall,11.1,Choice,0.22,Kamado,Pecan,Texas,247,Foil,Intermediate,67,63,21.2,17.0,4.2,193.0,1.2,4.5,7.2,5.6,5.8,157.41
BRISKET_0109,2024-03-31,Spring,8.4,Choice,0.23,Offset Smoker,Mixed,Memphis,226,No Wrap,Beginner,101,71,6.0,15.2,2.0,207.0,0.6,3.4,5.3,3.7,4.2,134.15
BRISKET_0110,2023-07-28,Summer,18.9,Choice,0.32,Kettle Grill,Apple,Memphis,230,No Wrap,Intermediate,103,47,0.9,24.0,3.8,199.0,2.0,5.7,5.5,5.5,5.6,232.98
BRISKET_0111,2023-01-13,Winter,15.2,Select,0.27,Electric Smoker,Mixed,Carolina,235,Butcher Paper,Intermediate,26,32,1.1,23.7,1.6,190.0,0.7,1.9,5.1,3.7,3.6,206.41
BRISKET_0112,2024-02-01,Winter,11.2,Prime,0.33,Offset Smoker,Oak,Alabama,256,No Wrap,Advanced,56,69,3.7,23.7,3.8,208.0,1.3,7.8,7.7,7.7,7.7,215.64
BRISKET_0113,2023-09-09,Fall,14.4,Select,0.4,Pellet Grill,Oak,Alabama,246,Foil,Intermediate,57,45,13.9,19.7,3.7,197.0,1.5,3.5,6.4,3.2,4.4,173.7
BRISKET_0114,2024-04-09,Spring,13.5,Select,0.32,Pellet Grill,Mixed,Alabama,258,Butcher Paper,Beginner,53,63,1.1,15.3,1.5,201.0,1.0,4.1,5.2,4.0,4.4,167.97
BRISKET_0115,2023-08-02,Summer,10.9,Choice,0.25,Pellet Grill,Apple,Texas,269,Foil,Intermediate,84,67,7.4,13.1,2.8,194.0,0.7,4.7,7.1,4.3,5.3,154.86
BRISKET_0116,2023-09-24,Fall,15.1,Select,0.36,Pellet Grill,Mixed,Memphis,240,Butcher Paper,Advanced,83,50,19.0,16.6,2.8,200.0,2.3,4.4,5.2,4.3,4.6,176.54
BRISKET_0117,2023-10-21,Fall,18.7,Choice,0.27,Gas Smoker,Pecan,Memphis,235,No Wrap,Advanced,28,52,4.9,24.0,3.0,210.0,2.3,4.3,5.6,5.2,5.0,253.78
BRISKET_0118,2023-11-07,Fall,20.0,Choice,0.35,Offset Smoker,Oak,Memphis,235,No Wrap,Advanced,53,37,9.6,24.0,3.4,209.0,2.2,5.1,7.4,6.7,6.4,254.73
BRISKET_0119,2024-12-28,Winter,11.2,Select,0.33,Electric Smoker,Mixed,Memphis,232,Foil,Intermediate,27,52,5.8,18.2,2.4,210.0,1.7,2.4,4.3,3.0,3.3,157.55
BRISKET_0120,2024-11-23,Fall,9.3,Select,0.1,Weber Smokey Mountain,Pecan,Kansas City,250,Foil,Beginner,70,70,2.2,10.2,5.0,204.0,2.3,4.2,5.9,4.2,4.8,105.98
BRISKET_0121,2023-11-23,Fall,8.8,Select,0.27,Electric Smoker,Apple,Memphis,216,Butcher Paper,Beginner,48,66,11.5,14.9,4.3,197.0,0.8,3.1,5.1,3.5,3.9,126.97
BRISKET_0122,2024-03-08,Spring,14.8,Select,0.28,Offset Smoker,Pecan,Texas,230,No Wrap,Beginner,68,20,4.4,21.9,1.9,205.0,0.4,4.7,5.0,3.8,4.5,176.13
BRISKET_0123,2024-12-02,Winter,12.1,Prime,0.17,Kamado,Mixed,Alabama,244,Butcher Paper,Intermediate,26,56,2.5,23.6,2.2,204.0,1.2,6.2,7.7,4.9,6.2,239.25
BRISKET_0124,2023-04-12,Spring,18.0,Prime,0.13,Gas Smoker,Mixed,Carolina,234,Butcher Paper,Beginner,40,69,1.5,24.0,3.4,206.0,0.7,4.7,6.2,5.6,5.5,307.61
BRISKET_0125,2023-03-17,Spring,12.7,Choice,0.05,Pellet Grill,Cherry,Memphis,236,Butcher Paper,Intermediate,45,90,6.4,24.0,4.9,200.0,2.1,6.1,5.8,5.0,5.6,202.42
BRISKET_0126,2023-08-28,Summer,20.4,Select,0.14,Pellet Grill,Mixed,Carolina,232,No Wrap,Advanced,79,69,4.0,21.6,3.1,194.0,1.8,4.4,5.9,6.1,5.5,228.21
BRISKET_0127,2024-05-31,Spring,10.9,Choice,0.34,Offset Smoker,Oak,Alabama,242,Butcher Paper,Intermediate,47,85,0.6,17.1,4.1,210.0,0.8,4.4,6.7,6.0,5.7,152.44
BRISKET_0128,2024-12-14,Winter,13.3,Choice,0.25,Pellet Grill,Apple,Memphis,243,Butcher Paper,Beginner,20,51,0.9,24.0,2.3,210.0,1.1,3.1,6.3,3.1,4.2,214.36
